,0
1518,-8221535.797731776
1519,-8230022.695675676
1520,-8225961.242173791
1521,-8216993.640635335
1522,-8212878.464344633
1523,-8211428.268810554
1524,-8214712.445456452
1525,-8204245.144857273
1526,-8219060.856275965
1527,-8195824.738166527
1528,-8211069.700541262
1529,-8195495.304208351
1530,-8197850.583363338
1531,-8194646.025252607
1532,-8189978.732458134
1533,-8192667.3167224
1534,-8173733.132876531
1535,-8186010.450192655
1536,-8194215.445388028
1537,-8183633.358409097
1538,-8162951.954076841
1539,-8181941.816663632
1540,-8170720.833311699
1541,-8160728.22849724
1542,-8147429.195475486
1543,-8173980.499800079
1544,-8159196.750078087
1545,-8158066.3929884955
1546,-8174575.802185042
1547,-8153861.213985125
1548,-8148686.840873121
1549,-8145014.066034607
1550,-8146569.280414174
1551,-8142181.36339554
1552,-8152274.064804022
1553,-8132919.021099069
1554,-8138142.751091619
1555,-8128676.15662358
1556,-8136089.142661673
1557,-8127229.234779316
1558,-8127820.777391403
1559,-8125868.552539451
1560,-8120060.870830116
1561,-8119952.254878892
1562,-8118968.486653733
1563,-8111156.914329326
1564,-8105553.242867674
1565,-8112284.436484725
1566,-8110111.183611287
1567,-8107238.194920525
1568,-8099795.025839047
1569,-8087199.774165816
1570,-8087509.999256826
1571,-8100483.853099558
1572,-8091394.267146313
1573,-8088479.322056344
1574,-8082766.328381024
1575,-8086344.350174264
1576,-8076868.624093114
1577,-8089097.304918526
1578,-8083180.5903161615
1579,-8071019.983176851
1580,-8073198.416522352
1581,-8070609.829558026
1582,-8067883.18445194
1583,-8059799.894650287
1584,-8062671.004611588
1585,-8056080.928476605
1586,-8052715.992220265
1587,-8056301.951011504
1588,-8049365.826939918
1589,-8045447.10570229
1590,-8044842.689941908
1591,-8045710.008321066
1592,-8047022.280618726
1593,-8042794.55463294
1594,-8041201.813077799
1595,-8032439.226530508
1596,-8035448.467433427
1597,-8029969.478213186
1598,-8040352.674775634
1599,-8021120.132274655
1600,-8028709.336593564
1601,-8019420.6281072125
1602,-8027392.679268802
1603,-8011408.418021966
1604,-8010239.5049262475
1605,-8012116.649678848
1606,-8013593.955906522
1607,-7999876.362221315
1608,-7997556.847061688
1609,-8012735.312030794
1610,-8002764.844302755
1611,-7990812.0232391255
1612,-7992425.551745649
1613,-7991644.037937459
1614,-7979488.16043389
1615,-7991171.441205673
1616,-7988299.700619077
1617,-7978024.403888801
1618,-7988984.972946041
1619,-7975310.956975586
1620,-7974513.294123697
1621,-7982349.9982774565
1622,-7974080.224158532
1623,-7971469.546769814
1624,-7975205.42303637
1625,-7959379.2242044145
1626,-7969162.710544837
1627,-7952282.448037138
1628,-7947668.98414172
1629,-7961647.980110155
1630,-7959769.176282599
1631,-7954845.336968396
1632,-7951360.838973556
1633,-7943165.450940534
1634,-7927271.204745652
1635,-7948693.596502938
1636,-7934714.024088657
1637,-7933998.77142437
1638,-7922188.86460501
1639,-7936275.953627739
1640,-7933607.595131927
1641,-7942569.795932868
1642,-7922275.453151591
1643,-7921298.862190676
1644,-7928110.749262717
1645,-7913507.726107701
1646,-7908810.203593468
1647,-7906181.390522272
1648,-7896329.418366961
1649,-7898885.013906789
1650,-7890596.843433587
1651,-7913638.148104291
1652,-7901476.519692256
1653,-7900799.261390143
1654,-7904913.560392757
1655,-7906986.637610603
1656,-7885909.771969132
1657,-7896379.095158276
1658,-7895843.064247001
1659,-7879572.557593295
1660,-7887519.390435637
1661,-7883065.748502492
1662,-7880118.005968958
1663,-7879307.985805103
1664,-7864440.941347418
1665,-7875670.952998326
1666,-7862512.76870999
1667,-7865330.136271986
1668,-7860421.252461475
1669,-7864938.450262998
1670,-7865457.908288176
1671,-7860446.478301977
1672,-7848576.471308454
1673,-7854515.095018756
1674,-7845576.122147649
1675,-7852884.838080778
1676,-7850255.658868644
1677,-7841121.6739890985
1678,-7852246.040489705
1679,-7842438.7272172095
1680,-7831655.387615548
1681,-7843309.929843402
1682,-7851370.299568561
1683,-7834765.604094584
1684,-7820352.269565365
1685,-7836378.359670091
1686,-7821626.603716131
1687,-7823414.623286653
1688,-7838793.197147849
1689,-7810597.850327478
1690,-7811673.825673859
1691,-7814852.534360724
1692,-7813474.801070389
1693,-7804411.697432279
1694,-7809439.640537001
1695,-7805937.732113768
1696,-7797629.514659365
1697,-7807689.396792604
1698,-7801032.18553495
1699,-7792995.830048062
1700,-7797088.028776011
1701,-7779152.671744411
1702,-7792886.53813313
1703,-7791100.918466083
1704,-7788889.797440385
1705,-7780689.491011707
1706,-7780701.95225668
1707,-7772944.252856053
1708,-7774185.21871075
1709,-7769760.647849556
1710,-7783288.90252817
1711,-7767361.175762213
1712,-7759188.02607694
1713,-7772001.217788543
1714,-7765510.536842115
1715,-7755968.7620457355
1716,-7766024.4053470865
1717,-7754978.190116186
1718,-7760905.869574007
1719,-7737895.44830597
1720,-7747679.528155832
1721,-7756761.0714679
1722,-7751527.668670647
1723,-7739111.636968458
1724,-7750619.036583504
1725,-7747849.603064995
1726,-7737130.140805754
1727,-7735287.108619514
1728,-7736906.084287328
1729,-7731194.933258996
1730,-7724765.549071243
1731,-7716683.4369819835
1732,-7732248.663608932
1733,-7731625.610253542
1734,-7719463.664015055
1735,-7706986.156304112
1736,-7715129.357058995
1737,-7732280.286519162
1738,-7714710.843801357
1739,-7702739.62076488
1740,-7717800.423374138
1741,-7703344.830948775
1742,-7708983.781791716
1743,-7706217.437902384
1744,-7705984.625701013
1745,-7703468.705278582
1746,-7702048.2627376225
1747,-7692456.923907647
1748,-7698219.04267697
1749,-7691812.974461713
1750,-7681871.994792526
1751,-7685681.477542431
1752,-7690117.644457495
1753,-7682390.897956419
1754,-7671947.920517535
1755,-7677284.156914126
1756,-7676163.2171516195
1757,-7678911.415636668
1758,-7672365.950718966
1759,-7660469.021671901
1760,-7687310.182320337
1761,-7667141.22741457
1762,-7674253.439883204
1763,-7654620.190273154
1764,-7659925.849045096
1765,-7655884.509333949
1766,-7656429.889101892
1767,-7648301.551397627
1768,-7645297.839574607
1769,-7650790.0227183895
1770,-7647155.8988928795
1771,-7651082.989073089
1772,-7641096.820901634
1773,-7643632.506012635
1774,-7636628.334168629
1775,-7638952.35002109
1776,-7636891.451816972
1777,-7641401.572241123
1778,-7630352.235523349
1779,-7623852.548329967
1780,-7633582.91356503
1781,-7628819.056816984
1782,-7626954.4179274365
1783,-7623748.44021617
1784,-7626799.3650029125
1785,-7614444.096281634
1786,-7618906.541638282
1787,-7605881.187432466
1788,-7610749.539016253
1789,-7614020.677743375
1790,-7618953.879033773
1791,-7603412.040976236
1792,-7603845.0909527475
1793,-7585501.309030707
1794,-7603099.463995365
1795,-7595652.854102922
1796,-7599407.961864556
1797,-7594988.406580923
1798,-7601712.089886459
1799,-7582673.21593517
1800,-7588357.209469938
1801,-7586545.083172367
1802,-7581421.516421271
1803,-7574477.792197103
1804,-7582698.827769943
1805,-7589669.884875631
1806,-7574355.880301092
1807,-7569137.6325890105
1808,-7567254.758619678
1809,-7579731.48382592
1810,-7566467.957599948
1811,-7575328.766597797
1812,-7563305.0061808005
1813,-7566437.7365904
1814,-7556212.639101885
1815,-7555445.266501522
1816,-7546990.8358603455
1817,-7553706.83169606
1818,-7551057.599252316
1819,-7559956.911806641
1820,-7550212.307634237
1821,-7543625.575500155
1822,-7554818.154440335
1823,-7536715.620791147
1824,-7531394.702663513
1825,-7533947.600202257
1826,-7543585.860182296
1827,-7540398.766025779
1828,-7533133.008715109
1829,-7538976.207269897
1830,-7531675.373190822
1831,-7523906.194691717
1832,-7518666.871259315
1833,-7521552.720276831
1834,-7528281.451015721
1835,-7526878.392685416
1836,-7520477.070640667
1837,-7522552.739339834
1838,-7514061.283830675
1839,-7510852.661010857
1840,-7517453.73076774
1841,-7496073.510405978
1842,-7503489.065733412
1843,-7506218.495032689
1844,-7503708.80402243
1845,-7506422.133705807
1846,-7498837.158433978
1847,-7481116.846427036
1848,-7494794.663376027
1849,-7486507.356358269
1850,-7499221.630312397
1851,-7488570.945055421
1852,-7486535.271965712
1853,-7477686.666893806
1854,-7478363.1618551025
1855,-7478402.076124214
1856,-7480834.27482398
1857,-7476595.673624564
1858,-7477484.207406943
1859,-7470835.670217575
1860,-7470669.133688037
1861,-7468965.553860563
1862,-7470756.116507714
1863,-7467823.075658225
1864,-7452749.180876514
1865,-7462266.574738684
1866,-7465151.566663336
1867,-7457895.898519771
1868,-7443545.797942144
1869,-7460303.700607201
1870,-7462668.86431323
1871,-7451619.436589311
1872,-7452365.222062724
1873,-7442781.289925533
1874,-7461538.104144519
1875,-7451655.033270388
1876,-7438806.778345319
1877,-7442922.709275955
1878,-7452443.865333893
1879,-7429498.97092214
1880,-7419464.571292634
1881,-7435229.869270389
1882,-7429284.49627623
1883,-7426310.506272174
1884,-7438202.140534264
1885,-7429302.223596685
1886,-7428796.473264603
1887,-7428137.860135119
1888,-7432660.654596919
1889,-7407564.298019978
1890,-7416933.424602831
1891,-7423900.175279032
1892,-7421145.176209592
1893,-7412143.221578004
1894,-7425507.797903771
1895,-7415768.723306829
1896,-7410311.758844088
1897,-7410453.209563228
1898,-7404583.603349294
1899,-7394826.073724998
1900,-7394218.007617937
1901,-7390745.058640311
1902,-7404599.053419162
1903,-7396523.50444619
1904,-7379007.744446145
1905,-7392035.361054744
1906,-7388474.253185052
1907,-7395797.270190556
1908,-7394027.206451276
1909,-7384421.219652823
1910,-7386194.580248163
1911,-7384580.2631297335
1912,-7387874.445066377
1913,-7381400.79462414
1914,-7372250.506482358
1915,-7366304.999207008
1916,-7368002.453604166
1917,-7377455.132813422
1918,-7364887.350545655
1919,-7371658.852710847
1920,-7354542.307669545
1921,-7364410.315317431
1922,-7371400.45560054
1923,-7363242.935195479
1924,-7355733.86162139
1925,-7358426.899661477
1926,-7362778.179019128
1927,-7349843.20390156
1928,-7351006.28278439
1929,-7350188.630512419
1930,-7330818.184424647
1931,-7336959.198592442
1932,-7329714.023274292
1933,-7351141.0946439775
1934,-7343525.461949556
1935,-7349593.969001725
1936,-7329080.306320246
1937,-7345798.260994014
1938,-7330790.462356839
1939,-7321631.374892504
1940,-7320890.135250463
1941,-7323868.850011741
1942,-7335088.6066589905
1943,-7326770.870897729
1944,-7319046.775797979
1945,-7327404.748580829
1946,-7310781.78603087
1947,-7325334.44265784
1948,-7320094.792498468
1949,-7314559.330153893
1950,-7311083.562431557
1951,-7319939.46488613
1952,-7304966.736675677
1953,-7308284.680878463
1954,-7307298.495328513
1955,-7300251.893497874
1956,-7292299.731646868
1957,-7296548.691408181
1958,-7297937.106761385
1959,-7299141.519140766
1960,-7297457.707397862
1961,-7288537.570634428
1962,-7305006.924218342
1963,-7296482.622596335
1964,-7288935.961995719
1965,-7280256.559624707
1966,-7276022.515358506
1967,-7281829.551168402
1968,-7273808.587619405
1969,-7273303.640300325
1970,-7278569.9652817715
1971,-7268683.12224134
1972,-7273647.567796453
1973,-7277325.9649315495
1974,-7283571.565103514
1975,-7262109.272968192
1976,-7260033.052875642
1977,-7269384.435384094
1978,-7270153.348276947
1979,-7265096.701742615
1980,-7259724.402066405
1981,-7260455.601423319
1982,-7260655.767500814
1983,-7262351.290800261
1984,-7250224.428991018
1985,-7255481.985631562
1986,-7253416.610317561
1987,-7254773.613345601
1988,-7247026.022167215
1989,-7241524.212548371
1990,-7243140.431743339
1991,-7245035.439240765
1992,-7247337.397048043
