,sigma2,mu,tau2
1319,91.82907552424746,245.5832511487803,365.7779808036277
1320,91.9567681931559,238.4406175302806,233.7700906968455
1321,91.7943183356847,237.3253434647488,483.3839395497694
1322,91.85926270713372,239.95290972162914,457.7016199193542
1323,91.89350221544652,234.40900531791445,602.5049285709288
1324,91.93711699935301,236.52386384807716,549.5067848941501
1325,92.07466658527193,239.58190486417718,364.2352921918631
1326,92.03972264989075,240.02846471731038,388.43213695218213
1327,92.08105066427817,240.87262104993428,415.85520203264167
1328,92.21611257373269,245.77522897893664,527.3330649253054
1329,92.18936040585957,238.35643097363825,467.4325324151156
1330,92.25329593143108,245.38572791749118,767.9331544041605
1331,92.3882152764031,231.79112041448286,314.46780282368024
1332,92.29833607124166,234.47261653546457,228.29629837038902
1333,92.27703994759251,239.80847903785775,309.7053943653352
1334,92.41363644945507,235.73864955160317,279.23371860886544
1335,92.44846006743239,232.81443408987377,702.0597964463112
1336,92.52849950643474,241.90927559879617,360.3440968180903
1337,92.48699608244236,239.2277251898324,345.7640857478483
1338,92.53709636202925,236.7560708148286,194.8986259647158
1339,92.6914278251101,237.91270975814018,466.1715032208272
1340,92.58378138685595,242.33281163948033,475.1896242579298
1341,92.80831584328938,232.4767722024411,431.2628656227729
1342,92.74925468111896,241.97699100444683,801.3019063789266
1343,92.82375374814251,244.0728356197052,273.0116165551192
1344,92.92935528190897,237.99066745106347,391.64965907460856
1345,92.98920078827614,235.34195076089173,824.1019588927642
1346,93.02010908914637,233.553962966332,368.31391131108165
1347,93.02762480787243,237.25587711716125,455.35276361983324
1348,92.96332550451392,236.91467743864672,658.1968119782641
1349,93.26001084041206,239.94001216731476,430.290657491586
1350,93.08828221122678,240.17118299017648,412.536977422137
1351,93.22627197003686,241.88367160220915,468.6770577665104
1352,93.14595306543134,237.87237110482948,529.8206740848723
1353,93.24953925236929,236.22008002698843,512.6047468134279
1354,93.23984440256055,244.87716144842844,447.14288678786727
1355,93.43344234438021,240.9560572146054,429.3011398656436
1356,93.50456845070077,240.9252166301872,499.47750966853846
1357,93.60224145935824,240.28079652689047,448.3697738445221
1358,93.4982358789857,245.80015562510368,345.70668938997693
1359,93.65854617507256,234.29543624938458,459.35487993026464
1360,93.58919315766549,238.5443513847995,424.381479334738
1361,93.62008803754648,242.52786457787073,471.323822905567
1362,93.54091178480223,237.71072856152713,409.8252445481152
1363,93.82490013544515,242.51515907570845,430.91739208356375
1364,93.55885148741339,241.6744464511169,337.63218842834567
1365,93.65652391267317,235.08984796683555,392.8385909574119
1366,93.86179556501666,237.08446539908442,253.08874962193852
1367,93.78641020257508,243.9898968204906,404.82922129220515
1368,93.89804530337395,238.4917306759846,480.54637155217927
1369,94.03578915753396,236.15915246796519,394.15431961370444
1370,94.0298308537851,245.06623896666736,496.6570738780614
1371,94.2307902378468,239.3447356790006,307.41689321703336
1372,94.2455173311969,244.651565959081,340.0308387543008
1373,94.21012958515725,239.32930754044747,443.47904908972816
1374,94.05012186794298,238.05695104276538,413.86794317854515
1375,94.28354187472955,244.97357183779263,768.0907391090245
1376,94.09073051880138,234.6816824002734,463.4289221086154
1377,94.28170195961603,238.20267901882235,574.2337226942765
1378,94.40835496849978,232.44466869590894,484.7153790694822
1379,94.45198767724335,234.2872551002634,570.0036904841237
1380,94.58324997306752,243.06660553490664,460.94450156187753
1381,94.40726009775794,243.11935613765417,336.3372490739363
1382,94.46998661244692,235.56320805874648,326.4727506084657
1383,94.74444514483123,237.6659146205944,306.6610346429664
1384,94.62953196632898,237.2665485986217,710.6653988222553
1385,94.76618101646838,245.5660505059262,493.3478897357846
1386,94.7795877470642,232.95337798416668,361.44689034069444
1387,94.82563263263701,241.5676554937635,689.7126203063312
1388,94.76641371683695,235.2441707292922,382.27103650525015
1389,94.74517013447907,233.79748150777678,485.73877091640634
1390,94.96678015917583,231.25021178532944,483.15708922496043
1391,95.08216104116414,237.60420416376616,471.2397300612198
1392,94.8845088472251,234.20349520779064,973.6418089089419
1393,95.07894000190385,237.7541524081589,275.7637572931703
1394,94.92638016755733,238.4895095494533,417.45687109906163
1395,95.31710156875897,235.9047354229376,498.7937757485139
1396,95.10689133111822,234.9165121806629,439.4304986004979
1397,95.25274400083993,241.09192710969916,561.4600820062777
1398,95.34873175859923,238.1199914603669,486.52988218961457
1399,95.04694164123909,243.3670321181162,368.4796414560496
1400,95.2313702766248,238.32582076029828,382.99177727422665
1401,95.4060748650136,241.4650730032743,588.394089491264
1402,95.36645807682395,238.49319579177052,377.57577618074555
1403,95.39589285165063,243.34283656779675,339.6699252690625
1404,95.37971000483627,243.2740202761756,602.2167974595734
1405,95.57293791824507,241.68661001311034,568.5223456137805
1406,95.69368727262534,236.4913462581774,587.5058468247572
1407,95.71255147609189,241.23816681624956,244.92817757085288
1408,95.73122631259707,237.85585258266298,437.6465544899194
1409,95.62969920161855,231.6721309848442,741.8660780707611
1410,95.6980416820142,243.2247143493254,559.5727559357806
1411,95.61312334035138,238.2970810622838,413.9421898863886
1412,95.86344474729167,240.37952762725888,436.8178836601109
1413,95.90151199341716,236.35987053071702,610.5114783549309
1414,95.94284817661689,236.63507445745537,634.8470082511258
1415,95.94288679931327,237.79692641762466,684.4906283692314
1416,96.0398871390937,242.49878585953604,905.564648868166
1417,96.08424756884204,239.671611755514,351.0601180011512
1418,96.1640543275707,235.95038450091997,527.0219476030015
1419,96.11629265907239,239.34440478261808,389.95432673847444
1420,96.28597478464535,235.25943665488032,845.8284961885639
1421,96.17288582196844,241.21669587511298,624.6901904548465
1422,96.16281018311412,231.75045491239268,851.2334414430151
1423,96.38536256005388,234.61942057583263,442.4950440927245
1424,96.41843985688041,235.26136382570533,392.30054872180074
1425,96.45721912918471,236.4056293159843,468.0864622478947
1426,96.29932508045084,239.71899787937195,454.60427990770324
1427,96.40271940378348,240.5995434728512,284.314423627421
1428,96.63901449557068,236.90917426240838,464.7094920467918
1429,96.53680900820005,244.6001314325192,485.8977988811815
1430,96.68225302866027,239.22375553932912,600.8365650794568
1431,96.46984064986515,241.5793988837589,345.4773783405225
1432,96.4053649908234,238.64755643399914,326.92243172056266
1433,96.58370351917783,237.91828968870954,413.0470611239979
1434,96.99015878440288,238.19900212527094,375.38253339881226
1435,96.78009537515193,234.4183511339292,360.94955123895585
1436,96.73479080761311,236.11199302692285,320.5644486499725
1437,96.85777744552361,240.14732653035122,469.71113248053894
1438,97.1700065375716,240.9298258638328,577.5519978101212
1439,97.02399037064323,238.95755368505516,412.9611978451549
1440,97.30162424899515,237.2250321337255,423.5135174007897
1441,97.0226397906584,237.8310616606908,268.15404508571976
1442,97.14754314681555,238.93543317223535,267.52702387231216
1443,97.1673592626442,239.02251670492603,540.3781658833818
1444,97.30466077322858,240.3144639271235,535.9593550984413
1445,97.21564258002334,238.39072002914665,541.487725786413
1446,97.30375637969298,242.28616124234526,401.6886256251887
1447,97.20449588488093,235.39553137780518,387.2901242083692
1448,97.2181840270158,233.54290877842342,328.4656049369957
1449,97.593004286377,242.69751265226213,672.0033787313113
1450,97.35969874261313,235.90622792911617,352.48568948930404
1451,97.41138598676798,242.31267832070313,384.2473980903189
1452,97.33899397129562,242.69648485873344,553.334817891919
1453,97.69030105653458,243.8776565812064,406.27206393366583
1454,97.87848748742644,244.25280666731524,359.2771024793329
1455,97.72998169739625,235.39065856831135,549.4980030322658
1456,97.94490472070329,239.46011114594378,550.3393262601916
1457,97.72841587992241,242.80665903903542,528.9925394410467
1458,97.94939680663488,237.77497445631758,625.4063930150104
1459,97.81964354551349,244.17949172858988,302.1595384713346
1460,97.85486945427628,240.8908117110113,398.80112113748737
1461,97.71141546795498,231.1048529874023,577.8087303617287
1462,97.8659477141377,238.5528278825419,289.9407977342673
1463,97.94482453477166,237.7410096272335,486.39100693288873
1464,98.22973698031298,233.54341725099087,419.9563102465776
1465,98.10745015050479,242.12590721378248,410.2761507894347
1466,98.16224192459701,242.89889637770253,457.0133047421568
1467,98.05742257146504,242.3571604001584,425.0046732433054
1468,98.29425440378968,241.25957348964613,406.804339735868
1469,98.30633217424347,235.35144591068857,605.3548343678619
1470,98.54658172601543,232.65859189203945,750.8926643271036
1471,98.50812045671569,232.9589415057845,503.1958536338816
1472,98.211869985087,240.57047158160998,464.93251438624503
1473,98.2264956510022,236.25038666677784,509.21681419129175
1474,98.62151023399583,239.1597501876181,766.9453079914304
1475,98.50340398664939,244.1641489986769,526.4242771574916
1476,98.6259290656093,231.73187028865814,485.747140872137
1477,98.57433847429408,245.03221320510514,643.5757126181918
1478,98.68438084561147,239.24880172658692,435.5257048295421
1479,98.8518472428929,236.14401111578465,577.2717096147583
1480,98.45114403909827,235.05785943726218,453.9615600458764
1481,98.97399655007553,241.21319811520743,685.6905309874834
1482,98.60929093697355,239.4585667260471,370.2371539764697
1483,99.18631797491146,242.44042700200959,399.948086708495
1484,98.95102207542462,245.06977134772583,441.3141999965715
1485,98.94356115176197,241.31628527855966,330.8600202783049
1486,99.15759932813155,238.69478586132246,772.1018820728636
1487,98.83459330889349,241.16172234284144,301.3023849626053
1488,98.94062843406901,239.86566296744166,372.0931228419203
1489,99.07866874100206,243.93808049233667,498.0331435203911
1490,99.237998558278,239.80422891421142,314.8650366764583
1491,99.14322411091712,230.3556350063723,357.05845380268147
1492,99.06492269850136,237.61585449541636,431.71331276592304
1493,99.51413015779421,240.81468466437448,315.0469635690801
1494,99.40327007695569,240.53119280173192,380.4642003214171
1495,99.30639061314581,242.89759166042606,570.1524801803108
1496,99.41196721686347,244.93455420252175,483.0526593187797
1497,99.33399594392625,236.01532079513422,406.36283589191777
1498,99.64773759681009,242.35365239644108,483.3476911608491
1499,99.59347296992698,241.01228491296555,506.72255179051086
1500,99.46114920085535,247.3565786702664,439.08788041862704
1501,99.53309127323604,237.98574064515736,428.2166279103522
1502,99.74875027751462,240.2550340035578,377.0424883889076
1503,99.64968382874697,237.64217226729494,464.7446812590305
1504,99.81124291417306,242.36860642873503,357.59970526812646
1505,99.8652741296947,236.8568426109007,392.8146304683118
1506,99.88176333059802,238.41881099883526,782.1945207976078
1507,99.85456427371727,234.92778667465558,434.61418027541936
1508,99.87067186563638,244.49423295126672,427.32483468234676
1509,99.90399254154914,238.71751866544548,542.5260608056553
1510,99.97243790577897,244.83054120899118,361.0581443277672
1511,99.91644479004634,241.1156800052139,445.5399747134656
1512,100.04730254855188,229.06480385707562,306.4723743263298
1513,100.09466806022768,240.52718056266062,463.41396600682316
