CNS,COD_MCPIO,MCPIO
69.1,25823,Topaipí
70.2,25839,Ubalá
88.7,25841,Ubaque
87.7,25843,Villa de San Diego de Ubate
70.0,25845,Une
66.3,25851,Útica
62.2,25862,Vergara
78.6,25867,Vianí
69.1,25871,Villagómez
91.7,25873,Villapinzón
88.6,25875,Villeta
80.8,25878,Viotá
54.6,25885,Yacopí
63.5,25898,Zipacón
82.3,25899,Zipaquirá
69.7,27001,Quibdó
64.2,27006,Acandí
33.1,27050,Atrato
42.2,27073,Bagadó
77.3,27075,Bahía Solano
22.5,27077,Bajo Baudó
27.7,27099,Bojaya
37.0,27135,El Cantón del San Pablo
35.5,27150,Carmen del Darien
52.7,27205,Condoto
32.7,27245,El Carmen de Atrato
15.4,27250,El Litoral del San Juan
70.5,27361,Istmina
34.3,27372,Juradó
25.2,27413,Lloró
19.2,27430,Medio Baudó
35.4,27450,Medio San Juan
30.3,27491,Nóvita
34.8,27495,Nuquí
19.7,27580,Río Iro
37.7,27600,Río Quito
29.4,27615,Riosucio
52.8,27660,San José del Palmar
19.5,27745,Sipí
46.2,27787,Tadó
38.2,27800,Unguía
34.7,27810,Unión Panamericana
81.1,41001,Neiva
54.8,41006,Acevedo
72.3,41013,Agrado
57.8,41016,Aipe
70.9,41020,Algeciras
65.4,41026,Altamira
53.1,41078,Baraya
67.3,41132,Campoalegre
34.4,41206,Colombia
72.7,41244,Elías
62.8,41298,Garzón
79.0,41306,Gigante
71.6,41319,Guadalupe
76.7,41349,Hobo
70.3,41357,Iquira
75.8,41359,Isnos
76.2,41378,La Argentina
69.7,41396,La Plata
76.9,41483,Nátaga
52.9,41503,Oporapa
80.0,41518,Paicol
75.2,41524,Palermo
36.7,15114,Busbanzá
69.6,41530,Palestina
78.4,41548,Pital
79.9,41551,Pitalito
97.4,41615,Rivera
56.8,41660,Saladoblanco
72.1,41668,San Agustín
75.3,41676,Santa María
72.0,41770,Suaza
78.4,41791,Tarqui
101.9,41797,Tesalia
58.2,41799,Tello
68.2,41801,Teruel
69.8,41807,Timaná
65.3,41872,Villavieja
83.3,41885,Yaguará
49.2,44001,Riohacha
31.3,44035,Albania
52.3,44078,Barrancas
39.9,44090,Dibulla
30.6,44098,Distracción
42.0,44110,El Molino
89.3,44279,Fonseca
42.7,44378,Hatonuevo
71.2,44430,Maicao
11.6,44560,Manaure
75.1,44650,San Juan del Cesar
9.8,44847,Uribia
41.1,44855,Urumita
63.6,44874,Villanueva
68.4,47001,Santa Marta
68.6,47030,Algarrobo
55.2,47053,Aracataca
70.3,47058,Ariguaní
46.6,47161,Cerro San Antonio
62.4,47170,Chibolo
63.4,47189,Ciénaga
100.7,47205,Concordia
70.6,47245,El Banco
69.0,47258,El Piñon
77.1,47268,El Retén
79.4,47288,Fundación
72.0,47318,Guamal
59.4,47460,Nueva Granada
63.4,47541,Pedraza
46.2,47545,Pijiño del Carmen
71.1,47551,Pivijay
65.6,47555,Plato
54.6,47570,Puebloviejo
55.8,47605,Remolino
37.1,47660,Sabanas de San Angel
83.6,47675,Salamina
73.6,47692,San Sebastián de Buenavista
83.2,47703,San Zenón
60.8,47707,Santa Ana
42.2,47720,Santa Bárbara de Pinto
39.3,47745,Sitionuevo
77.9,47798,Tenerife
67.0,47960,Zapayán
71.9,47980,Zona Bananera
81.5,50001,Villavicencio
101.5,50006,Acacías
122.1,50110,Barranca de Upía
74.5,50124,Cabuyaro
96.0,50150,Castilla la Nueva
95.0,50223,Cubarral
99.7,50226,Cumaral
85.9,50245,El Calvario
79.8,50251,El Castillo
82.5,50270,El Dorado
72.5,50287,Fuente de Oro
85.9,50313,Granada
97.5,50318,Guamal
19.5,50325,Mapiripán
39.2,50330,Mesetas
32.9,50350,La Macarena
24.5,50370,Uribe
80.6,50400,Lejanías
28.7,50450,Puerto Concordia
65.9,50568,Puerto Gaitán
74.7,50573,Puerto López
54.7,50577,Puerto Lleras
30.8,50590,Puerto Rico
91.6,50680,San Carlos de Guaroa
56.9,50683,San Juan de Arama
57.6,50686,San Juanito
93.2,50689,San Martín
41.2,50711,Vistahermosa
74.2,52001,Pasto
30.1,52019,Albán
111.3,52022,Aldana
73.2,52036,Ancuyá
73.7,52051,Arboleda
42.8,52079,Barbacoas
76.0,52083,Belén
48.0,52110,Buesaco
49.8,52203,Colón
78.3,52207,Consaca
34.5,52210,Contadero
78.3,52215,Córdoba
51.5,52224,Cuaspud
61.4,52227,Cumbal
26.1,52233,Cumbitara
54.2,52240,Chachagüí
25.7,52250,El Charco
64.6,52254,El Peñol
34.6,52256,El Rosario
61.9,52258,El Tablón de Gómez
62.4,52260,El Tambo
64.2,52287,Funes
65.7,52317,Guachucal
62.1,52320,Guaitarilla
97.6,52323,Gualmatán
74.5,52352,Iles
81.0,52354,Imués
61.4,52356,Ipiales
67.0,52378,La Cruz
60.6,52381,La Florida
44.7,52385,La Llanada
24.1,52390,La Tola
74.0,52399,La Unión
34.2,52405,Leiva
54.6,52411,Linares
27.5,52418,Los Andes
14.2,52427,Magüi
44.5,52435,Mallama
18.0,52473,Mosquera
51.7,52480,Nariño
19.1,52490,Olaya Herrera
48.6,52506,Ospina
